Time (s),ForceReading
0.14400000000000002,0.0
0.145,0.0
0.146,0.0
0.147,0.0
0.148,0.0
0.149,0.0
0.15,0.0
0.151,0.0
0.152,0.0
0.153,0.0
0.154,0.0
0.155,0.0
0.156,0.0
0.157,0.0
0.158,0.0
0.159,0.0
0.16,0.0
0.161,0.0
0.162,0.0
0.163,0.0
0.164,0.0
0.165,0.0
0.166,0.0
0.167,0.0
0.168,0.0
0.169,0.0
0.17,0.0
0.171,0.0
0.17200000000000001,0.0
0.17300000000000001,0.0
0.17400000000000002,0.0
0.17500000000000002,0.0
0.176,0.0
0.177,0.0
0.178,0.0
0.179,0.0
0.18,0.0
0.181,0.0
0.182,0.0
0.183,0.0
0.184,0.0
0.185,0.0
0.186,0.0
0.187,0.0
0.188,0.0
0.189,0.0
0.19,0.0
0.191,0.0
0.192,0.0
0.193,0.0
0.194,0.0
0.195,0.0
0.196,0.0
0.197,0.0
0.198,0.0
0.199,0.0
0.2,0.0
0.201,0.0
0.202,0.0
0.203,0.0
0.20400000000000001,0.0
0.20500000000000002,0.0
0.20600000000000002,0.0
0.20700000000000002,0.0
0.20800000000000002,0.0
0.209,0.0
0.21,0.0
0.211,0.0
0.212,0.0
0.213,0.0
0.214,0.0
0.215,0.0
0.216,0.0
0.217,0.0
0.218,0.0
0.219,0.0
0.22,0.0
0.221,0.0
0.222,0.0
0.223,0.0
0.224,0.0
0.225,0.0
0.226,0.0
0.227,0.0
0.228,0.0
0.229,0.0
0.23,0.0
0.231,0.0
0.232,0.0
0.233,0.0
0.234,0.0
0.23500000000000001,0.0
0.23600000000000002,0.0
0.23700000000000002,0.0
0.23800000000000002,0.0
0.23900000000000002,0.0
0.24,0.0
0.241,0.0
0.242,0.0
0.243,0.0
0.244,0.0
0.245,0.0
0.246,0.0
0.247,0.0
0.248,0.0
0.249,0.0
0.25,0.0
0.251,0.0
0.252,0.0
0.253,0.0
0.254,0.0
0.255,0.0
0.256,0.0
0.257,0.0
0.258,0.0
0.259,0.0
0.26,0.0
0.261,0.0
0.262,0.0
0.263,0.0
0.264,0.0
0.265,0.0
0.266,0.0
0.267,0.0
0.268,0.0
0.269,0.0
0.27,0.0
0.271,0.0
0.272,0.0
0.273,0.0
0.274,0.0
0.275,0.0
0.276,0.0
0.277,0.0
0.278,0.0
0.279,0.0
0.28,0.0
0.281,0.0
0.28200000000000003,0.0
0.28300000000000003,0.0
0.28400000000000003,0.0
0.28500000000000003,0.0
0.28600000000000003,0.0
0.28700000000000003,0.0
0.28800000000000003,0.0
0.289,0.0
0.29,0.0
0.291,0.0
0.292,0.0
0.293,0.0
0.294,0.0
0.295,0.0
0.296,0.0
0.297,0.0
0.298,0.0
0.299,0.0
0.3,0.0
0.301,0.0
0.302,0.0
0.303,0.0
0.304,0.0
0.305,0.0
0.306,0.0
0.307,0.0
0.308,0.0
0.309,0.0
0.31,0.0
0.311,0.0
0.312,0.0
0.313,0.0
0.314,0.0
0.315,0.0
0.316,0.0
0.317,0.0
0.318,0.0
0.319,0.0
0.32,0.0
0.321,0.0
0.322,0.0
0.323,0.0
0.324,0.0
0.325,0.0
0.326,0.0
0.327,0.0
0.328,0.0
0.329,0.0
0.33,0.0
0.331,0.0
0.332,0.0
0.333,0.0
0.334,0.0
0.335,0.0
0.336,0.0
0.337,0.0
0.338,0.0
0.339,0.0
0.34,0.0
0.341,0.0
0.342,0.0
0.343,0.0
0.34400000000000003,0.0
0.34500000000000003,0.0
0.34600000000000003,0.0
0.34700000000000003,0.0
0.34800000000000003,0.0
0.34900000000000003,0.0
0.35000000000000003,0.0
0.35100000000000003,0.0
0.352,0.0
0.353,0.0
0.354,0.0
0.355,0.0
0.356,0.0
0.357,0.0
0.358,0.0
0.359,0.0
0.36,0.0
0.361,0.0
0.362,0.0
0.363,0.0
0.364,0.0
0.365,0.0
0.366,0.0
0.367,0.0
0.368,0.0
0.369,0.0
0.37,0.0
0.371,0.0
0.372,0.0
0.373,0.0
0.374,0.0
0.375,0.0
0.376,0.0
0.377,0.0
0.378,0.0
0.379,0.0
0.38,0.0
0.381,0.0
0.382,0.0
0.383,0.0
0.384,0.0
0.385,0.0
0.386,0.0
0.387,0.0
0.388,0.0
0.389,0.0
0.39,0.0
0.391,0.0
0.392,0.0
0.393,0.0
0.394,0.0
0.395,0.0
0.396,0.0
0.397,0.0
0.398,0.0
0.399,0.0
0.4,0.0
0.401,0.0
0.402,0.0
0.403,0.0
0.404,0.0
0.405,0.0
0.406,0.0
0.40700000000000003,0.0
0.40800000000000003,0.0
0.40900000000000003,0.0
0.41000000000000003,0.0
0.41100000000000003,0.0
0.41200000000000003,0.0
0.41300000000000003,0.0
0.41400000000000003,0.0
0.41500000000000004,0.0
0.41600000000000004,0.0
0.417,0.0
0.418,0.0
0.419,0.0
0.42,0.0
0.421,0.0
0.422,0.0
0.423,0.0
0.424,0.0
0.425,0.0
0.426,0.0
0.427,0.0
0.428,0.0
0.429,0.0
0.43,0.0
0.431,0.0
0.432,0.0
0.433,0.0
0.434,0.0
0.435,0.0
0.436,0.0
0.437,0.0
0.438,0.0
0.439,0.0
0.44,0.0
0.441,0.0
0.442,0.0
0.443,0.0
0.444,0.0
0.445,0.0
0.446,0.0
0.447,0.0
0.448,0.0
0.449,0.0
0.45,0.0
0.451,0.0
0.452,0.0
0.453,0.0
0.454,0.0
0.455,0.0
0.456,0.0
0.457,0.0
0.458,0.0
0.459,0.0
0.46,0.0
0.461,0.0
0.462,0.0
0.463,0.0
0.464,0.0
0.465,0.0
0.466,0.0
0.467,0.0
0.468,0.0
0.46900000000000003,0.0
0.47000000000000003,0.0
0.47100000000000003,0.0
0.47200000000000003,0.0
0.47300000000000003,0.0
0.47400000000000003,0.0
0.47500000000000003,0.0
0.47600000000000003,0.0
0.47700000000000004,0.0
0.47800000000000004,0.0
0.47900000000000004,0.0
0.48,0.0
0.481,0.0
0.482,0.0
0.483,0.0
0.484,0.0
0.485,0.0
0.486,0.0
0.487,0.0
0.488,0.0
0.489,0.0
0.49,0.0
0.491,0.0
0.492,0.0
0.493,0.0
0.494,0.0
0.495,0.0
0.496,0.0
0.497,0.0
0.498,0.0
0.499,0.0
0.5,0.0
0.501,0.0
0.502,0.0
0.503,0.0
0.504,0.0
0.505,0.0
0.506,0.0
0.507,0.0
0.508,0.0
0.509,0.0
0.51,0.0
0.511,0.0
0.512,0.0
0.513,0.0
0.514,0.0
0.515,0.0
0.516,0.0
0.517,0.0
0.518,0.0
0.519,0.0
0.52,0.0
0.521,0.0
0.522,0.0
0.523,0.0
0.524,0.0
0.525,0.0
0.526,0.0
0.527,0.0
0.528,0.0
0.529,0.0
0.53,0.0
0.531,0.0
0.532,0.0
0.533,0.0
0.534,0.0
0.535,0.0
0.536,0.0
0.537,0.0
0.538,0.0
0.539,0.0
0.54,0.0
0.541,0.0
0.542,0.0
0.543,0.0
0.544,0.0
0.545,0.0
0.546,0.0
0.547,0.0
0.548,0.0
0.549,0.0
0.55,0.0
0.551,0.0
0.552,0.0
0.553,0.0
0.554,0.0
0.555,0.0
0.556,0.0
0.557,0.0
0.558,0.0
0.559,0.0
0.56,0.0
0.561,0.0
0.562,0.0
0.5630000000000001,0.0
0.5640000000000001,0.0
0.5650000000000001,0.0
0.5660000000000001,0.0
0.5670000000000001,0.0
0.5680000000000001,0.0
0.5690000000000001,0.0
0.5700000000000001,0.0
0.5710000000000001,0.0
0.5720000000000001,0.0
0.5730000000000001,0.0
0.5740000000000001,0.0
0.5750000000000001,0.0
0.5760000000000001,0.0
0.577,0.0
0.578,0.0
0.579,0.0
0.58,0.0
0.581,0.0
0.582,0.0
0.583,0.0
0.584,0.0
0.585,0.0
0.586,0.0
0.587,0.0
0.588,0.0
0.589,0.0
0.59,0.0
0.591,0.0
0.592,0.0
0.593,0.0
0.594,0.0
0.595,0.0
0.596,0.0
0.597,0.0
0.598,0.0
0.599,0.0
0.6,0.0
0.601,0.0
0.602,0.0
0.603,0.0
0.604,0.0
0.605,0.0
0.606,0.0
0.607,0.0
0.608,0.0
0.609,0.0
0.61,0.0
0.611,0.0
0.612,0.0
0.613,0.0
0.614,0.0
0.615,0.0
0.616,0.0
0.617,0.0
0.618,0.0
0.619,0.0
0.62,0.0
0.621,0.0
0.622,0.0
0.623,0.0
0.624,0.0
0.625,0.0
0.626,0.0
0.627,0.0
0.628,0.0
0.629,0.0
0.63,0.0
0.631,0.0
0.632,0.0
0.633,0.0
0.634,0.0
0.635,0.0
0.636,0.0
0.637,0.0
0.638,0.0
0.639,0.0
0.64,0.0
0.641,0.0
0.642,0.0
0.643,0.0
0.644,0.0
0.645,0.0
0.646,0.0
0.647,0.0
0.648,0.0
0.649,0.0
0.65,0.0
0.651,0.0
0.652,0.0
0.653,0.0
0.654,0.0
0.655,0.0
0.656,0.0
0.657,0.0
0.658,0.0
0.659,0.0
0.66,0.0
0.661,0.0
0.662,0.0
0.663,0.0
0.664,0.0
0.665,0.0
0.666,0.0
0.667,0.0
0.668,0.0
0.669,0.0
0.67,0.0
0.671,0.0
0.672,0.0
0.673,0.0
0.674,0.0
0.675,0.0
0.676,0.0
0.677,0.0
0.678,0.0
0.679,0.0
0.68,0.0
0.681,0.0
0.682,0.0
0.683,0.0
0.684,0.0
0.685,0.0
0.686,0.0
0.687,0.0
0.6880000000000001,0.0
0.6890000000000001,0.0
0.6900000000000001,0.0
0.6910000000000001,0.0
0.6920000000000001,0.0
0.6930000000000001,0.0
0.6940000000000001,0.0
0.6950000000000001,0.0
0.6960000000000001,0.0
0.6970000000000001,0.0
0.6980000000000001,0.0
0.6990000000000001,0.0
0.7000000000000001,0.0
0.7010000000000001,0.0
0.7020000000000001,0.0
0.7030000000000001,0.0
0.704,0.0
0.705,0.0
0.706,0.0
0.707,0.0
0.708,0.0
0.709,0.0
0.71,0.0
0.711,0.0
0.712,0.0
0.713,0.0
0.714,0.0
0.715,0.0
0.716,0.0
0.717,0.0
0.718,0.0
0.719,0.0
0.72,0.0
0.721,0.0
0.722,0.0
0.723,0.0
0.724,0.0
0.725,0.0
0.726,0.0
0.727,0.0
0.728,0.0
0.729,0.0
0.73,0.0
0.731,0.0
0.732,0.0
0.733,0.0
0.734,0.0
0.735,0.0
0.736,0.0
0.737,0.0
0.738,0.0
0.739,0.0
0.74,0.0
0.741,0.0
0.742,0.0
0.743,0.0
0.744,0.0
0.745,0.0
0.746,0.0
0.747,0.0
0.748,0.0
0.749,0.0
0.75,0.0
0.751,0.0
0.752,0.0
0.753,0.0
0.754,0.0
0.755,0.0
0.756,0.0
0.757,0.0
0.758,0.0
0.759,0.0
0.76,0.0
0.761,0.0
0.762,0.0
0.763,0.0
0.764,0.0
0.765,0.0
0.766,0.0
0.767,0.0
0.768,0.0
0.769,0.0
0.77,0.0
0.771,0.0
0.772,0.0
0.773,0.0
0.774,0.0
0.775,0.0
0.776,0.0
0.777,0.0
0.778,0.0
0.779,0.0
0.78,0.0
0.781,0.0
0.782,0.0
0.783,0.0
0.784,0.0
0.785,0.0
0.786,0.0
0.787,0.0
0.788,0.0
0.789,0.0
0.79,0.0
0.791,0.0
0.792,0.0
0.793,0.0
0.794,0.0
0.795,0.0
0.796,0.0
0.797,0.0
0.798,0.0
0.799,0.0
0.8,0.0
0.801,0.0
0.802,0.0
0.803,0.0
0.804,0.0
0.805,0.0
0.806,0.0
0.807,0.0
0.808,0.0
0.809,0.0
0.81,0.0
0.811,0.0
0.812,0.0
0.8130000000000001,0.0
0.8140000000000001,0.0
0.8150000000000001,0.0
0.8160000000000001,0.0
0.8170000000000001,0.0
0.8180000000000001,0.0
0.8190000000000001,0.0
0.8200000000000001,0.0
0.8210000000000001,0.0
0.8220000000000001,0.0
0.8230000000000001,0.0
0.8240000000000001,0.0
0.8250000000000001,0.0
0.8260000000000001,0.0
0.8270000000000001,0.0
0.8280000000000001,0.0
0.8290000000000001,0.0
0.8300000000000001,0.0
0.8310000000000001,0.0
0.8320000000000001,0.0
0.833,0.0
0.834,0.0
0.835,0.0
0.836,0.0
0.837,0.0
0.838,0.0
0.839,0.0
0.84,0.0
0.841,0.0
0.842,0.0
0.843,0.0
0.844,0.0
0.845,0.0
0.846,0.0
0.847,0.0
0.848,0.0
0.849,0.0
0.85,0.0
0.851,0.0
0.852,0.0
0.853,0.0
0.854,0.0
0.855,0.0
0.856,0.0
0.857,0.0
0.858,0.0
0.859,0.0
0.86,0.0
0.861,0.0
0.862,0.0
0.863,0.0
0.864,0.0
0.865,0.0
0.866,0.0
0.867,0.0
0.868,0.0
0.869,0.0
0.87,0.0
0.871,0.0
0.872,0.0
0.873,0.0
0.874,0.0
0.875,0.0
0.876,0.0
0.877,0.0
0.878,0.0
0.879,0.0
0.88,0.0
0.881,0.0
0.882,0.0
0.883,0.0
0.884,0.0
0.885,0.0
0.886,0.0
0.887,0.0
0.888,0.0
0.889,0.0
0.89,0.0
0.891,0.0
0.892,0.0
0.893,0.0
0.894,0.0
0.895,0.0
0.896,0.0
0.897,0.0
0.898,0.0
0.899,0.0
0.9,0.0
0.901,0.0
0.902,0.0
0.903,0.0
0.904,0.0
0.905,0.0
0.906,0.0
0.907,0.0
0.908,0.0
0.909,0.0
0.91,0.0
0.911,0.0
0.912,0.0
0.913,0.0
0.914,0.0
0.915,0.0
0.916,0.0
0.917,0.0
0.918,0.0
0.919,0.0
0.92,0.0
0.921,0.0
0.922,0.0
0.923,0.0
0.924,0.0
0.925,0.0
0.926,0.0
0.927,0.0
0.928,0.0
0.929,0.0
0.93,0.0
0.931,0.0
0.932,0.0
0.933,0.0
0.934,0.0
0.935,0.0
0.936,0.0
0.937,0.0
0.9380000000000001,0.0
0.9390000000000001,0.0
0.9400000000000001,0.0
0.9410000000000001,0.0
0.9420000000000001,0.0
0.9430000000000001,0.0
0.9440000000000001,0.0
0.9450000000000001,0.0
0.9460000000000001,0.0
0.9470000000000001,0.0
0.9480000000000001,0.0
0.9490000000000001,0.0
0.9500000000000001,0.0
0.9510000000000001,0.0
0.9520000000000001,0.0
0.9530000000000001,0.0
0.9540000000000001,0.0
0.9550000000000001,0.0
0.9560000000000001,0.0
0.9570000000000001,0.0
0.9580000000000001,0.0
0.9590000000000001,0.0
0.96,0.0
0.961,0.0
0.962,0.0
0.963,0.0
0.964,0.0
0.965,0.0
0.966,0.0
0.967,0.0
0.968,0.0
0.969,0.0
0.97,0.0
0.971,0.0
0.972,0.0
0.973,0.0
0.974,0.0
0.975,0.0
0.976,0.0
0.977,0.0
0.978,0.0
0.979,0.0
0.98,0.0
0.981,0.0
0.982,0.0
0.983,0.0
0.984,0.0
0.985,0.0
0.986,0.0
0.987,0.0
0.988,0.0
0.989,0.0
0.99,0.0
0.991,0.0
0.992,0.0
0.993,0.0
0.994,0.0
0.995,0.0
0.996,0.0
0.997,0.0
0.998,0.0
0.999,0.0
1.0,0.0
1.0010000000000001,0.0
1.002,0.0
1.0030000000000001,0.0
1.004,0.0
1.0050000000000001,0.0
1.006,0.0
1.0070000000000001,0.0
1.008,0.0
1.0090000000000001,0.0
1.01,0.0
1.0110000000000001,0.0
1.012,0.0
1.0130000000000001,0.0
1.014,0.0
1.0150000000000001,0.0
1.016,0.0
1.0170000000000001,0.0
1.018,0.0
1.0190000000000001,0.0
1.02,0.0
1.0210000000000001,0.0
1.022,0.0
1.0230000000000001,0.0
1.024,0.0
1.025,0.0
1.026,0.0
1.027,0.0
1.028,0.0
1.029,0.0
1.03,0.0
1.031,0.0
1.032,0.0
1.033,0.0
1.034,0.0
1.035,0.0
1.036,0.0
1.037,0.0
1.038,0.0
1.039,0.0
1.04,0.0
1.041,0.0
1.042,0.0
1.043,0.0
1.044,0.0
1.045,0.0
1.046,0.0
1.047,0.0
1.048,0.0
1.049,0.0
1.05,0.0
1.051,0.0
1.052,0.0
1.053,0.0
1.054,0.0
1.055,0.0
1.056,0.0
1.057,0.0
1.058,0.0
1.059,0.0
1.06,0.0
1.061,0.0
1.062,0.0
1.063,0.0
1.064,0.0
1.065,0.0
1.066,0.0
1.067,0.0
1.068,0.0
1.069,0.0
1.07,0.0
1.071,0.0
1.072,0.0
1.073,0.0
1.074,0.0
1.075,0.0
1.076,0.0
1.077,0.0
1.078,0.0
1.079,0.0
1.08,0.0
1.081,0.0
1.082,0.0
1.083,0.0
1.084,0.0
1.085,0.0
1.086,0.0
1.087,0.0
1.088,0.0
1.089,0.0
1.09,0.0
1.091,0.0
1.092,0.0
1.093,0.0
1.094,0.0
1.095,0.0
1.096,0.0
1.097,0.0
1.098,0.0
1.099,0.0
1.1,0.0
1.101,0.0
1.102,0.0
1.103,0.0
1.104,0.0
1.105,0.0
1.106,0.0
1.107,0.0
1.108,0.0
1.109,0.0
1.11,0.0
1.111,0.0
1.112,0.0
1.113,0.0
1.114,0.0
1.115,0.0
1.116,0.0
1.117,0.0
1.118,0.0
1.119,0.0
1.12,0.0
1.121,0.0
1.122,0.0
1.123,37.0
1.124,41.0
1.125,44.0
1.1260000000000001,46.0
1.127,49.0
1.1280000000000001,53.0
1.129,57.0
1.1300000000000001,60.0
1.131,61.0
1.1320000000000001,64.0
1.133,64.0
1.1340000000000001,67.0
1.135,70.0
1.1360000000000001,71.0
1.137,73.0
1.1380000000000001,82.0
1.139,89.0
1.1400000000000001,116.0
1.141,127.0
1.1420000000000001,136.0
1.143,139.0
1.1440000000000001,142.0
1.145,145.0
1.1460000000000001,147.0
1.147,147.0
1.1480000000000001,147.0
1.149,146.0
1.1500000000000001,144.0
1.151,142.0
1.1520000000000001,140.0
1.153,139.0
1.154,138.0
1.155,140.0
1.156,141.0
1.157,142.0
1.158,144.0
1.159,146.0
1.16,148.0
1.161,149.0
1.162,154.0
1.163,155.0
1.164,157.0
1.165,159.0
1.166,159.0
1.167,160.0
1.168,160.0
1.169,159.0
1.17,157.0
1.171,158.0
1.172,156.0
1.173,156.0
1.174,158.0
1.175,168.0
1.176,176.0
1.177,184.0
1.178,193.0
1.179,198.0
1.18,203.0
1.181,209.0
1.182,213.0
1.183,219.0
1.184,225.0
1.185,228.0
1.186,231.0
1.187,233.0
1.188,237.0
1.189,237.0
1.19,237.0
1.191,235.0
1.192,234.0
1.193,234.0
1.194,232.0
1.195,231.0
1.196,233.0
1.197,232.0
1.198,234.0
1.199,237.0
1.2,237.0
1.201,239.0
1.202,237.0
1.203,238.0
1.204,238.0
1.205,238.0
1.206,237.0
1.207,237.0
1.208,238.0
1.209,237.0
1.21,237.0
1.211,237.0
1.212,238.0
1.213,238.0
1.214,239.0
1.215,240.0
1.216,238.0
1.217,239.0
1.218,239.0
1.219,239.0
1.22,239.0
1.221,240.0
1.222,239.0
1.223,239.0
1.224,240.0
1.225,240.0
1.226,241.0
1.227,242.0
1.228,241.0
1.229,243.0
1.23,242.0
1.231,242.0
1.232,241.0
1.233,242.0
1.234,242.0
1.235,242.0
1.236,242.0
1.237,242.0
1.238,243.0
1.239,242.0
1.24,244.0
1.241,244.0
1.242,243.0
1.243,243.0
1.244,244.0
1.245,243.0
1.246,243.0
1.247,243.0
1.248,245.0
1.249,245.0
1.25,245.0
1.2510000000000001,245.0
1.252,245.0
1.2530000000000001,246.0
1.254,246.0
1.2550000000000001,248.0
1.256,248.0
1.2570000000000001,248.0
1.258,251.0
1.2590000000000001,251.0
1.26,253.0
1.2610000000000001,255.0
1.262,256.0
1.2630000000000001,257.0
1.264,260.0
1.2650000000000001,261.0
1.266,262.0
1.2670000000000001,263.0
1.268,263.0
1.2690000000000001,264.0
1.27,265.0
1.2710000000000001,267.0
1.272,272.0
1.2730000000000001,274.0
1.274,276.0
1.2750000000000001,281.0
1.276,283.0
1.2770000000000001,291.0
1.278,301.0
1.2790000000000001,312.0
1.28,323.0
1.281,331.0
1.282,337.0
1.283,343.0
1.284,348.0
1.285,350.0
1.286,355.0
1.287,358.0
1.288,362.0
1.289,364.0
1.29,365.0
1.291,365.0
1.292,364.0
1.293,365.0
1.294,362.0
1.295,361.0
1.296,371.0
1.297,379.0
1.298,387.0
1.299,394.0
1.3,399.0
1.301,402.0
1.302,405.0
1.303,411.0
1.304,418.0
1.305,425.0
1.306,434.0
1.307,441.0
1.308,447.0
1.309,452.0
1.31,455.0
1.311,458.0
1.312,463.0
1.313,468.0
1.314,473.0
1.315,476.0
1.316,481.0
1.317,483.0
1.318,487.0
1.319,489.0
1.32,493.0
1.321,496.0
1.322,501.0
1.323,504.0
1.324,507.0
1.325,509.0
1.326,511.0
1.327,516.0
1.328,518.0
1.329,521.0
1.33,526.0
1.331,530.0
1.332,535.0
1.333,538.0
1.334,543.0
1.335,549.0
1.336,553.0
1.337,557.0
1.338,560.0
1.339,562.0
1.34,565.0
1.341,566.0
1.342,570.0
1.343,573.0
1.344,575.0
1.345,576.0
1.346,578.0
1.347,580.0
1.348,579.0
1.349,581.0
1.35,584.0
1.351,588.0
1.352,592.0
1.353,594.0
1.354,599.0
1.355,601.0
1.356,605.0
1.357,609.0
1.358,611.0
1.359,614.0
1.36,618.0
1.361,622.0
1.362,623.0
1.363,627.0
1.364,631.0
1.365,632.0
1.366,634.0
1.367,637.0
1.368,638.0
1.369,639.0
1.37,641.0
1.371,642.0
1.372,644.0
1.373,645.0
1.374,647.0
1.375,650.0
1.3760000000000001,651.0
1.377,652.0
1.3780000000000001,657.0
1.379,658.0
1.3800000000000001,660.0
1.381,663.0
1.3820000000000001,665.0
1.383,668.0
1.3840000000000001,669.0
1.385,671.0
1.3860000000000001,673.0
1.387,675.0
1.3880000000000001,676.0
1.389,679.0
1.3900000000000001,680.0
1.391,684.0
1.3920000000000001,686.0
1.393,687.0
1.3940000000000001,688.0
1.395,692.0
1.3960000000000001,693.0
1.397,693.0
1.3980000000000001,694.0
1.399,695.0
1.4000000000000001,697.0
1.401,698.0
1.4020000000000001,699.0
1.403,701.0
1.4040000000000001,701.0
1.405,702.0
1.4060000000000001,702.0
1.407,704.0
1.408,704.0
1.409,706.0
1.41,708.0
1.411,710.0
1.412,713.0
1.413,716.0
1.414,717.0
1.415,719.0
1.416,721.0
1.417,723.0
1.418,724.0
1.419,727.0
1.42,727.0
1.421,728.0
1.422,731.0
1.423,733.0
1.424,733.0
1.425,735.0
1.426,737.0
1.427,739.0
1.428,740.0
1.429,741.0
1.43,742.0
1.431,743.0
1.432,744.0
1.433,747.0
1.434,746.0
1.435,747.0
1.436,749.0
1.437,750.0
1.438,750.0
1.439,751.0
1.44,752.0
1.441,754.0
1.442,755.0
1.443,756.0
1.444,756.0
1.445,757.0
1.446,757.0
1.447,758.0
1.448,761.0
1.449,759.0
1.45,761.0
1.451,761.0
1.452,762.0
1.453,764.0
1.454,764.0
1.455,765.0
1.456,767.0
1.457,766.0
1.458,766.0
1.459,767.0
1.46,767.0
1.461,769.0
1.462,771.0
1.463,771.0
1.464,771.0
1.465,772.0
1.466,771.0
1.467,773.0
1.468,774.0
1.469,774.0
1.47,773.0
1.471,774.0
1.472,774.0
1.473,775.0
1.474,776.0
1.475,777.0
1.476,777.0
1.477,779.0
1.478,781.0
1.479,782.0
1.48,782.0
1.481,783.0
1.482,783.0
1.483,784.0
1.484,784.0
1.485,785.0
1.486,786.0
1.487,785.0
1.488,786.0
1.489,787.0
1.49,788.0
1.491,788.0
1.492,789.0
1.493,790.0
1.494,790.0
1.495,789.0
1.496,791.0
1.497,792.0
1.498,792.0
1.499,792.0
1.5,793.0
1.5010000000000001,793.0
1.502,795.0
1.5030000000000001,797.0
1.504,796.0
1.5050000000000001,796.0
1.506,798.0
1.5070000000000001,799.0
1.508,799.0
1.5090000000000001,799.0
1.51,801.0
1.5110000000000001,800.0
1.512,801.0
1.5130000000000001,801.0
1.514,803.0
1.5150000000000001,803.0
1.516,803.0
1.5170000000000001,804.0
1.518,803.0
1.5190000000000001,805.0
1.52,804.0
1.5210000000000001,806.0
1.522,807.0
1.5230000000000001,806.0
1.524,806.0
1.5250000000000001,807.0
1.526,808.0
1.5270000000000001,808.0
1.528,809.0
1.5290000000000001,810.0
1.53,810.0
1.5310000000000001,810.0
1.532,811.0
1.5330000000000001,811.0
1.534,812.0
1.5350000000000001,812.0
1.536,813.0
1.537,814.0
1.538,814.0
1.539,814.0
1.54,816.0
1.541,815.0
1.542,817.0
1.543,816.0
1.544,816.0
1.545,818.0
1.546,819.0
1.547,818.0
1.548,819.0
1.549,819.0
1.55,820.0
1.551,821.0
1.552,822.0
1.553,821.0
1.554,821.0
1.555,822.0
1.556,822.0
1.557,822.0
1.558,823.0
1.559,822.0
1.56,823.0
1.561,824.0
1.562,825.0
1.563,824.0
1.564,825.0
1.565,825.0
1.566,825.0
1.567,827.0
1.568,826.0
1.569,827.0
1.57,827.0
1.571,828.0
1.572,827.0
1.573,828.0
1.574,828.0
1.575,828.0
1.576,828.0
1.577,829.0
1.578,829.0
1.579,830.0
1.58,830.0
1.581,832.0
1.582,832.0
1.583,831.0
1.584,833.0
1.585,832.0
1.586,832.0
1.587,832.0
1.588,834.0
1.589,835.0
1.59,833.0
1.591,834.0
1.592,835.0
1.593,836.0
1.594,835.0
1.595,837.0
1.596,836.0
1.597,837.0
1.598,836.0
1.599,838.0
1.6,839.0
1.601,839.0
1.602,839.0
1.603,840.0
1.604,840.0
1.605,840.0
1.606,840.0
1.607,841.0
1.608,841.0
1.609,842.0
