Time,ForceReading
0.0,8.0
0.001,12.0
0.002,12.0
0.003,17.0
0.004,36.0
0.005,46.0
0.006,48.0
0.007,57.0
0.008,60.0
0.009,63.0
0.01,60.0
0.011,52.0
0.012,52.0
0.013,54.0
0.014,53.0
0.015,53.0
0.016,53.0
0.017,55.0
0.018,57.0
0.019,59.0
0.02,60.0
0.021,62.0
0.022,62.0
0.023,65.0
0.024,65.0
0.025,63.0
0.026,63.0
0.027,65.0
0.028,67.0
0.029,68.0
0.03,71.0
0.031,69.0
0.032,72.0
0.033,71.0
0.034,70.0
0.035,71.0
0.036,72.0
0.037,75.0
0.038,75.0
0.039,75.0
0.04,74.0
0.041,73.0
0.042,73.0
0.043,75.0
0.044,74.0
0.045,76.0
0.046,73.0
0.047,78.0
0.048,78.0
0.049,78.0
0.05,80.0
0.051,77.0
0.052,80.0
0.053,78.0
0.054,77.0
0.055,77.0
0.056,78.0
0.057,73.0
0.058,73.0
0.059,77.0
0.06,74.0
0.061,73.0
0.062,75.0
0.063,74.0
0.064,74.0
0.065,74.0
0.066,75.0
0.067,74.0
0.068,75.0
0.069,75.0
0.07,77.0
0.071,75.0
0.072,77.0
0.073,77.0
0.074,79.0
0.075,79.0
0.076,82.0
0.077,83.0
0.078,86.0
0.079,90.0
0.08,94.0
0.081,96.0
0.082,101.0
0.083,107.0
0.084,114.0
0.085,117.0
0.086,117.0
0.087,119.0
0.088,119.0
0.089,119.0
0.09,121.0
0.091,121.0
0.092,120.0
0.093,121.0
0.094,124.0
0.095,121.0
0.096,122.0
0.097,121.0
0.098,122.0
0.099,119.0
0.1,118.0
0.101,117.0
0.102,117.0
0.103,118.0
0.104,120.0
0.105,119.0
0.106,125.0
0.107,142.0
0.108,162.0
0.109,174.0
0.11,185.0
0.111,192.0
0.112,203.0
0.113,208.0
0.114,216.0
0.115,222.0
0.116,232.0
0.117,244.0
0.118,253.0
0.119,267.0
0.12,284.0
0.121,298.0
0.122,303.0
0.123,310.0
0.124,317.0
0.125,326.0
0.126,336.0
0.127,348.0
0.128,357.0
0.129,365.0
0.13,370.0
0.131,381.0
0.132,392.0
0.133,405.0
0.134,417.0
0.135,431.0
0.136,439.0
0.137,450.0
0.138,458.0
0.139,464.0
0.14,471.0
0.141,477.0
0.142,483.0
0.143,487.0
0.144,492.0
0.145,496.0
0.146,503.0
0.147,509.0
0.148,516.0
0.149,519.0
0.15,529.0
0.151,535.0
0.152,540.0
0.153,546.0
0.154,553.0
0.155,559.0
0.156,568.0
0.157,573.0
0.158,577.0
0.159,581.0
0.16,585.0
0.161,589.0
0.162,596.0
0.163,598.0
0.164,604.0
0.165,606.0
0.166,609.0
0.167,613.0
0.168,618.0
0.169,620.0
0.17,623.0
0.171,626.0
0.172,629.0
0.173,635.0
0.174,638.0
0.175,642.0
0.176,644.0
0.177,647.0
0.178,651.0
0.179,653.0
0.18,655.0
0.181,657.0
0.182,660.0
0.183,664.0
0.184,665.0
0.185,668.0
0.186,671.0
0.187,673.0
0.188,676.0
0.189,679.0
0.19,680.0
0.191,683.0
0.192,689.0
0.193,690.0
0.194,691.0
0.195,695.0
0.196,697.0
0.197,698.0
0.198,700.0
0.199,702.0
0.2,703.0
0.201,705.0
0.202,706.0
0.203,707.0
0.204,710.0
0.205,711.0
0.206,714.0
0.207,715.0
0.208,717.0
0.209,719.0
0.21,722.0
0.211,723.0
0.212,726.0
0.213,726.0
0.214,728.0
0.215,730.0
0.216,732.0
0.217,732.0
0.218,735.0
0.219,738.0
0.22,739.0
0.221,741.0
0.222,743.0
0.223,745.0
0.224,747.0
0.225,748.0
0.226,750.0
0.227,753.0
0.228,754.0
0.229,756.0
0.23,756.0
0.231,759.0
0.232,760.0
0.233,762.0
0.234,764.0
0.235,765.0
0.236,768.0
0.237,769.0
0.238,770.0
0.239,773.0
0.24,773.0
0.241,775.0
0.242,777.0
0.243,776.0
0.244,778.0
0.245,780.0
0.246,781.0
0.247,782.0
0.248,783.0
0.249,784.0
0.25,785.0
0.251,787.0
0.252,787.0
0.253,789.0
0.254,790.0
0.255,792.0
0.256,792.0
0.257,793.0
0.258,794.0
0.259,795.0
0.26,797.0
0.261,796.0
0.262,797.0
0.263,798.0
0.264,799.0
0.265,800.0
0.266,800.0
0.267,801.0
0.268,802.0
0.269,804.0
0.27,805.0
0.271,806.0
0.272,806.0
0.273,807.0
0.274,808.0
0.275,809.0
0.276,811.0
0.277,811.0
0.278,811.0
0.279,813.0
0.28,814.0
0.281,814.0
0.282,814.0
0.283,816.0
0.284,816.0
0.285,817.0
0.286,818.0
0.287,819.0
0.288,819.0
0.289,821.0
0.29,821.0
0.291,822.0
0.292,822.0
0.293,824.0
0.294,825.0
0.295,824.0
0.296,826.0
0.297,826.0
0.298,826.0
0.299,827.0
0.3,828.0
0.301,828.0
0.302,829.0
0.303,830.0
0.304,830.0
0.305,832.0
0.306,831.0
0.307,833.0
0.308,832.0
0.309,833.0
0.31,835.0
0.311,836.0
0.312,835.0
0.313,836.0
0.314,836.0
0.315,837.0
0.316,838.0
0.317,838.0
0.318,839.0
0.319,839.0
0.32,840.0
0.321,840.0
0.322,840.0
0.323,841.0
0.324,840.0
0.325,841.0
0.326,843.0
0.327,842.0
0.328,843.0
0.329,843.0
0.33,845.0
0.331,844.0
0.332,845.0
0.333,845.0
0.334,845.0
0.335,847.0
0.336,847.0
0.337,846.0
0.338,848.0
0.339,847.0
0.34,847.0
0.341,848.0
0.342,848.0
0.343,850.0
0.344,849.0
0.345,849.0
0.346,850.0
0.347,850.0
0.348,851.0
0.349,851.0
0.35,852.0
0.351,852.0
0.352,852.0
0.353,853.0
0.354,853.0
0.355,854.0
0.356,853.0
0.357,854.0
0.358,854.0
0.359,855.0
0.36,854.0
0.361,855.0
0.362,855.0
0.363,855.0
0.364,855.0
0.365,856.0
0.366,856.0
0.367,857.0
0.368,857.0
0.369,857.0
0.37,856.0
0.371,857.0
0.372,859.0
0.373,858.0
0.374,859.0
0.375,859.0
0.376,859.0
0.377,859.0
0.378,859.0
0.379,859.0
0.38,859.0
0.381,860.0
0.382,860.0
0.383,861.0
0.384,860.0
0.385,862.0
0.386,861.0
0.387,861.0
0.388,862.0
0.389,863.0
0.39,864.0
0.391,864.0
0.392,864.0
0.393,864.0
0.394,863.0
0.395,864.0
0.396,865.0
0.397,864.0
0.398,865.0
0.399,865.0
0.4,865.0
0.401,865.0
0.402,866.0
0.403,867.0
0.404,867.0
0.405,867.0
0.406,867.0
0.407,867.0
0.408,868.0
0.409,867.0
0.41,868.0
0.411,869.0
0.412,868.0
0.413,868.0
0.414,869.0
0.415,869.0
0.416,870.0
0.417,871.0
0.418,871.0
0.419,871.0
0.42,870.0
0.421,870.0
0.422,872.0
0.423,871.0
0.424,871.0
0.425,871.0
0.426,870.0
