Time,ForceReading
0.0,5.0
0.001,16.0
0.002,20.0
0.003,24.0
0.004,27.0
0.005,29.0
0.006,38.0
0.007,44.0
0.008,51.0
0.009,60.0
0.01,62.0
0.011,66.0
0.012,68.0
0.013,70.0
0.014,71.0
0.015,72.0
0.016,73.0
0.017,75.0
0.018,76.0
0.019,76.0
0.02,78.0
0.021,77.0
0.022,81.0
0.023,93.0
0.024,106.0
0.025,112.0
0.026,117.0
0.027,118.0
0.028,120.0
0.029,123.0
0.03,118.0
0.031,118.0
0.032,117.0
0.033,118.0
0.034,118.0
0.035,118.0
0.036,119.0
0.037,120.0
0.038,121.0
0.039,121.0
0.04,124.0
0.041,125.0
0.042,126.0
0.043,126.0
0.044,127.0
0.045,129.0
0.046,129.0
0.047,129.0
0.048,129.0
0.049,129.0
0.05,128.0
0.051,128.0
0.052,128.0
0.053,128.0
0.054,128.0
0.055,129.0
0.056,129.0
0.057,131.0
0.058,134.0
0.059,136.0
0.06,138.0
0.061,138.0
0.062,138.0
0.063,138.0
0.064,139.0
0.065,136.0
0.066,138.0
0.067,138.0
0.068,137.0
0.069,139.0
0.07,138.0
0.071,139.0
0.072,138.0
0.073,138.0
0.074,138.0
0.075,138.0
0.076,139.0
0.077,140.0
0.078,141.0
0.079,142.0
0.08,141.0
0.081,143.0
0.082,144.0
0.083,143.0
0.084,143.0
0.085,144.0
0.086,145.0
0.087,144.0
0.088,144.0
0.089,143.0
0.09,145.0
0.091,144.0
0.092,145.0
0.093,145.0
0.094,146.0
0.095,148.0
0.096,149.0
0.097,150.0
0.098,153.0
0.099,158.0
0.1,159.0
0.101,164.0
0.102,163.0
0.103,165.0
0.104,169.0
0.105,171.0
0.106,171.0
0.107,172.0
0.108,175.0
0.109,175.0
0.11,175.0
0.111,175.0
0.112,175.0
0.113,176.0
0.114,174.0
0.115,174.0
0.116,175.0
0.117,175.0
0.118,177.0
0.119,177.0
0.12,177.0
0.121,180.0
0.122,183.0
0.123,186.0
0.124,193.0
0.125,202.0
0.126,211.0
0.127,218.0
0.128,222.0
0.129,228.0
0.13,231.0
0.131,238.0
0.132,242.0
0.133,248.0
0.134,257.0
0.135,270.0
0.136,284.0
0.137,303.0
0.138,315.0
0.139,325.0
0.14,338.0
0.141,347.0
0.142,357.0
0.143,367.0
0.144,379.0
0.145,394.0
0.146,402.0
0.147,411.0
0.148,418.0
0.149,423.0
0.15,428.0
0.151,436.0
0.152,442.0
0.153,451.0
0.154,456.0
0.155,467.0
0.156,473.0
0.157,480.0
0.158,485.0
0.159,494.0
0.16,502.0
0.161,507.0
0.162,515.0
0.163,523.0
0.164,528.0
0.165,533.0
0.166,538.0
0.167,541.0
0.168,546.0
0.169,548.0
0.17,555.0
0.171,557.0
0.172,561.0
0.173,564.0
0.174,568.0
0.175,573.0
0.176,577.0
0.177,581.0
0.178,584.0
0.179,591.0
0.18,597.0
0.181,599.0
0.182,604.0
0.183,609.0
0.184,614.0
0.185,618.0
0.186,622.0
0.187,624.0
0.188,628.0
0.189,631.0
0.19,633.0
0.191,635.0
0.192,638.0
0.193,640.0
0.194,644.0
0.195,647.0
0.196,650.0
0.197,652.0
0.198,656.0
0.199,658.0
0.2,661.0
0.201,664.0
0.202,667.0
0.203,668.0
0.204,671.0
0.205,674.0
0.206,675.0
0.207,679.0
0.208,680.0
0.209,682.0
0.21,685.0
0.211,687.0
0.212,688.0
0.213,691.0
0.214,694.0
0.215,697.0
0.216,700.0
0.217,701.0
0.218,704.0
0.219,706.0
0.22,708.0
0.221,710.0
0.222,713.0
0.223,714.0
0.224,717.0
0.225,719.0
0.226,720.0
0.227,721.0
0.228,724.0
0.229,726.0
0.23,729.0
0.231,730.0
0.232,733.0
0.233,733.0
0.234,735.0
0.235,737.0
0.236,739.0
0.237,740.0
0.238,742.0
0.239,744.0
0.24,745.0
0.241,747.0
0.242,749.0
0.243,751.0
0.244,753.0
0.245,755.0
0.246,755.0
0.247,757.0
0.248,757.0
0.249,760.0
0.25,760.0
0.251,762.0
0.252,763.0
0.253,764.0
0.254,766.0
0.255,766.0
0.256,768.0
0.257,769.0
0.258,770.0
0.259,771.0
0.26,773.0
0.261,773.0
0.262,774.0
0.263,776.0
0.264,777.0
0.265,778.0
0.266,779.0
0.267,780.0
0.268,780.0
0.269,781.0
0.27,782.0
0.271,783.0
0.272,784.0
0.273,785.0
0.274,786.0
0.275,787.0
0.276,789.0
0.277,788.0
0.278,791.0
0.279,792.0
0.28,792.0
0.281,794.0
0.282,795.0
0.283,796.0
0.284,796.0
0.285,798.0
0.286,799.0
