Time,ForceReading
0.0,10.0
0.001,17.0
0.002,19.0
0.003,24.0
0.004,42.0
0.005,55.0
0.006,69.0
0.007,93.0
0.008,107.0
0.009,115.0
0.01,127.0
0.011,140.0
0.012,148.0
0.013,155.0
0.014,160.0
0.015,163.0
0.016,166.0
0.017,172.0
0.018,173.0
0.019,176.0
0.02,180.0
0.021,184.0
0.022,190.0
0.023,193.0
0.024,197.0
0.025,201.0
0.026,203.0
0.027,207.0
0.028,211.0
0.029,216.0
0.03,215.0
0.031,219.0
0.032,222.0
0.033,226.0
0.034,225.0
0.035,227.0
0.036,232.0
0.037,239.0
0.038,241.0
0.039,251.0
0.04,255.0
0.041,269.0
0.042,279.0
0.043,283.0
0.044,285.0
0.045,290.0
0.046,293.0
0.047,297.0
0.048,299.0
0.049,300.0
0.05,300.0
0.051,301.0
0.052,304.0
0.053,307.0
0.054,310.0
0.055,311.0
0.056,313.0
0.057,322.0
0.058,327.0
0.059,330.0
0.06,333.0
0.061,336.0
0.062,338.0
0.063,341.0
0.064,344.0
0.065,345.0
0.066,347.0
0.067,350.0
0.068,353.0
0.069,356.0
0.07,360.0
0.071,363.0
0.072,365.0
0.073,369.0
0.074,371.0
0.075,374.0
0.076,377.0
0.077,380.0
0.078,386.0
0.079,389.0
0.08,393.0
0.081,397.0
0.082,402.0
0.083,408.0
0.084,411.0
0.085,416.0
0.086,419.0
0.087,422.0
0.088,426.0
0.089,431.0
0.09,435.0
0.091,440.0
0.092,445.0
0.093,449.0
0.094,450.0
0.095,454.0
0.096,459.0
0.097,461.0
0.098,463.0
0.099,466.0
0.1,471.0
0.101,474.0
0.102,477.0
0.103,480.0
0.104,482.0
0.105,486.0
0.106,491.0
0.107,496.0
0.108,499.0
0.109,503.0
0.11,508.0
0.111,511.0
0.112,513.0
0.113,519.0
0.114,525.0
0.115,530.0
0.116,532.0
0.117,538.0
0.118,542.0
0.119,548.0
0.12,553.0
0.121,555.0
0.122,558.0
0.123,562.0
0.124,565.0
0.125,568.0
0.126,571.0
0.127,574.0
0.128,577.0
0.129,579.0
0.13,581.0
0.131,582.0
0.132,586.0
0.133,586.0
0.134,589.0
0.135,591.0
0.136,592.0
0.137,594.0
0.138,597.0
0.139,598.0
0.14,603.0
0.141,604.0
0.142,604.0
0.143,607.0
0.144,608.0
0.145,610.0
0.146,611.0
0.147,614.0
0.148,616.0
0.149,618.0
0.15,620.0
0.151,622.0
0.152,623.0
0.153,626.0
0.154,627.0
0.155,630.0
0.156,632.0
0.157,635.0
0.158,636.0
0.159,638.0
0.16,640.0
0.161,643.0
0.162,644.0
0.163,646.0
0.164,649.0
0.165,649.0
0.166,650.0
0.167,651.0
0.168,653.0
0.169,655.0
0.17,655.0
0.171,656.0
0.172,658.0
0.173,659.0
0.174,662.0
0.175,664.0
0.176,666.0
0.177,668.0
0.178,669.0
0.179,672.0
0.18,673.0
0.181,675.0
0.182,676.0
0.183,677.0
0.184,679.0
0.185,681.0
0.186,680.0
0.187,683.0
0.188,684.0
0.189,686.0
0.19,686.0
0.191,686.0
0.192,688.0
0.193,689.0
0.194,691.0
0.195,691.0
0.196,693.0
0.197,695.0
0.198,696.0
0.199,696.0
0.2,697.0
0.201,698.0
0.202,701.0
0.203,703.0
0.204,703.0
0.205,705.0
0.206,706.0
0.207,708.0
0.208,707.0
0.209,707.0
0.21,709.0
0.211,710.0
0.212,711.0
0.213,713.0
0.214,713.0
0.215,715.0
0.216,715.0
0.217,716.0
0.218,717.0
0.219,718.0
0.22,718.0
0.221,720.0
0.222,721.0
0.223,720.0
0.224,721.0
0.225,724.0
0.226,725.0
0.227,726.0
0.228,726.0
0.229,726.0
0.23,728.0
0.231,727.0
0.232,728.0
0.233,730.0
0.234,730.0
0.235,731.0
0.236,733.0
0.237,734.0
0.238,734.0
0.239,736.0
0.24,736.0
0.241,738.0
0.242,738.0
0.243,738.0
0.244,739.0
0.245,741.0
0.246,741.0
0.247,742.0
0.248,743.0
0.249,743.0
0.25,744.0
0.251,746.0
0.252,746.0
0.253,747.0
0.254,749.0
0.255,750.0
0.256,750.0
0.257,750.0
0.258,752.0
0.259,753.0
0.26,754.0
0.261,753.0
0.262,754.0
0.263,757.0
0.264,756.0
0.265,757.0
0.266,757.0
0.267,757.0
0.268,760.0
0.269,760.0
0.27,761.0
0.271,762.0
0.272,761.0
0.273,762.0
0.274,763.0
0.275,764.0
0.276,764.0
0.277,764.0
0.278,764.0
0.279,764.0
0.28,765.0
0.281,766.0
0.282,768.0
0.283,767.0
0.284,769.0
0.285,767.0
0.286,769.0
0.287,769.0
0.288,769.0
0.289,771.0
0.29,770.0
0.291,772.0
0.292,770.0
0.293,772.0
0.294,772.0
0.295,774.0
0.296,774.0
0.297,774.0
0.298,774.0
0.299,775.0
0.3,777.0
0.301,777.0
0.302,777.0
0.303,777.0
0.304,777.0
0.305,778.0
0.306,779.0
0.307,780.0
0.308,778.0
0.309,780.0
0.31,779.0
0.311,779.0
0.312,779.0
0.313,782.0
0.314,779.0
0.315,781.0
0.316,782.0
0.317,781.0
0.318,782.0
0.319,782.0
0.32,783.0
0.321,783.0
0.322,784.0
0.323,783.0
0.324,783.0
0.325,785.0
0.326,784.0
0.327,784.0
0.328,785.0
0.329,787.0
0.33,786.0
0.331,786.0
0.332,786.0
0.333,787.0
0.334,788.0
0.335,787.0
0.336,788.0
0.337,789.0
0.338,788.0
0.339,789.0
0.34,790.0
0.341,790.0
0.342,791.0
0.343,792.0
0.344,794.0
0.345,794.0
0.346,795.0
0.347,796.0
0.348,795.0
0.349,795.0
0.35,795.0
0.351,795.0
0.352,796.0
0.353,797.0
0.354,797.0
0.355,797.0
0.356,800.0
0.357,800.0
0.358,800.0
0.359,801.0
0.36,802.0
0.361,802.0
0.362,801.0
0.363,802.0
0.364,802.0
0.365,804.0
0.366,803.0
0.367,804.0
0.368,805.0
0.369,806.0
0.37,805.0
0.371,805.0
0.372,806.0
0.373,805.0
0.374,807.0
0.375,806.0
0.376,807.0
0.377,807.0
0.378,807.0
0.379,808.0
0.38,808.0
0.381,809.0
0.382,809.0
0.383,809.0
0.384,809.0
0.385,811.0
0.386,811.0
0.387,812.0
0.388,812.0
0.389,811.0
0.39,811.0
0.391,812.0
0.392,812.0
0.393,813.0
0.394,812.0
0.395,812.0
0.396,812.0
0.397,813.0
0.398,814.0
0.399,813.0
0.4,814.0
0.401,815.0
0.402,816.0
0.403,815.0
0.404,816.0
0.405,816.0
0.406,816.0
0.407,816.0
0.408,817.0
0.409,817.0
0.41,817.0
0.411,818.0
0.412,818.0
0.413,818.0
0.414,818.0
0.415,819.0
0.416,818.0
0.417,818.0
0.418,819.0
0.419,822.0
0.42,821.0
0.421,820.0
0.422,821.0
0.423,823.0
0.424,822.0
0.425,822.0
0.426,823.0
0.427,825.0
0.428,824.0
0.429,824.0
0.43,824.0
0.431,824.0
0.432,824.0
0.433,825.0
0.434,826.0
0.435,827.0
0.436,826.0
0.437,827.0
0.438,827.0
0.439,827.0
0.44,827.0
0.441,828.0
0.442,828.0
0.443,829.0
0.444,829.0
0.445,831.0
0.446,830.0
0.447,831.0
0.448,831.0
0.449,832.0
0.45,832.0
0.451,832.0
0.452,833.0
0.453,833.0
0.454,832.0
0.455,832.0
0.456,833.0
0.457,834.0
0.458,833.0
0.459,834.0
0.46,834.0
0.461,835.0
0.462,835.0
0.463,836.0
0.464,836.0
0.465,836.0
0.466,836.0
0.467,837.0
0.468,839.0
0.469,838.0
0.47,838.0
0.471,837.0
0.472,840.0
0.473,838.0
0.474,839.0
0.475,838.0
0.476,839.0
0.477,839.0
0.478,841.0
0.479,841.0
0.48,841.0
0.481,841.0
0.482,841.0
0.483,842.0
0.484,842.0
0.485,841.0
0.486,843.0
0.487,843.0
0.488,843.0
0.489,844.0
0.49,843.0
0.491,844.0
0.492,843.0
0.493,843.0
0.494,844.0
0.495,844.0
0.496,843.0
0.497,844.0
0.498,843.0
0.499,846.0
0.5,844.0
0.501,845.0
0.502,845.0
0.503,847.0
0.504,846.0
0.505,846.0
0.506,847.0
0.507,846.0
0.508,848.0
0.509,847.0
0.51,848.0
0.511,847.0
0.512,848.0
0.513,849.0
0.514,848.0
0.515,847.0
0.516,847.0
0.517,848.0
0.518,849.0
0.519,850.0
0.52,849.0
0.521,850.0
0.522,849.0
0.523,849.0
0.524,850.0
0.525,851.0
0.526,850.0
0.527,850.0
0.528,852.0
0.529,852.0
0.53,852.0
0.531,850.0
0.532,852.0
0.533,852.0
0.534,852.0
0.535,851.0
0.536,852.0
0.537,853.0
0.538,852.0
0.539,852.0
0.54,853.0
0.541,853.0
0.542,852.0
0.543,852.0
0.544,853.0
0.545,855.0
0.546,853.0
0.547,853.0
0.548,854.0
0.549,853.0
0.55,855.0
0.551,853.0
0.552,854.0
0.553,854.0
0.554,854.0
0.555,854.0
0.556,854.0
0.557,854.0
0.558,855.0
0.559,854.0
0.56,855.0
0.561,855.0
0.562,856.0
0.563,856.0
0.564,855.0
0.565,855.0
0.566,855.0
0.567,855.0
0.568,855.0
0.569,855.0
0.57,854.0
0.571,856.0
0.572,855.0
0.573,855.0
0.574,855.0
0.575,855.0
0.576,856.0
0.577,855.0
0.578,856.0
0.579,857.0
0.58,856.0
0.581,856.0
0.582,856.0
0.583,855.0
0.584,856.0
0.585,858.0
0.586,856.0
0.587,856.0
0.588,858.0
0.589,858.0
0.59,858.0
0.591,858.0
0.592,856.0
0.593,856.0
0.594,857.0
0.595,856.0
0.596,857.0
0.597,856.0
0.598,857.0
0.599,857.0
0.6,856.0
0.601,856.0
0.602,857.0
0.603,857.0
0.604,857.0
0.605,857.0
0.606,858.0
0.607,857.0
0.608,858.0
0.609,858.0
0.61,858.0
0.611,856.0
0.612,857.0
0.613,858.0
0.614,857.0
0.615,856.0
0.616,857.0
0.617,858.0
0.618,857.0
0.619,856.0
0.62,857.0
0.621,857.0
0.622,856.0
0.623,857.0
0.624,857.0
0.625,857.0
0.626,858.0
0.627,857.0
0.628,858.0
0.629,856.0
0.63,857.0
0.631,857.0
0.632,857.0
0.633,856.0
0.634,857.0
0.635,857.0
0.636,858.0
0.637,857.0
0.638,857.0
0.639,859.0
0.64,858.0
0.641,858.0
0.642,857.0
0.643,858.0
0.644,858.0
0.645,857.0
0.646,859.0
0.647,858.0
0.648,858.0
0.649,858.0
0.65,857.0
0.651,858.0
0.652,856.0
0.653,858.0
0.654,857.0
0.655,857.0
0.656,858.0
0.657,857.0
0.658,857.0
0.659,857.0
0.66,857.0
0.661,860.0
0.662,859.0
0.663,858.0
0.664,858.0
0.665,857.0
0.666,859.0
0.667,858.0
0.668,858.0
0.669,858.0
0.67,858.0
0.671,858.0
0.672,857.0
0.673,858.0
0.674,858.0
0.675,858.0
0.676,860.0
0.677,859.0
0.678,857.0
0.679,857.0
0.68,858.0
0.681,857.0
0.682,857.0
0.683,857.0
0.684,859.0
0.685,859.0
0.686,858.0
0.687,857.0
0.688,858.0
0.689,858.0
0.69,858.0
0.691,858.0
0.692,859.0
0.693,858.0
0.694,858.0
0.695,859.0
0.696,858.0
0.697,858.0
0.698,858.0
0.699,859.0
0.7,858.0
0.701,859.0
0.702,858.0
0.703,858.0
0.704,857.0
0.705,858.0
0.706,860.0
0.707,860.0
0.708,858.0
0.709,858.0
0.71,860.0
0.711,858.0
0.712,858.0
0.713,860.0
0.714,859.0
0.715,858.0
0.716,858.0
0.717,859.0
0.718,860.0
0.719,860.0
0.72,858.0
0.721,859.0
0.722,858.0
0.723,859.0
0.724,860.0
0.725,858.0
0.726,858.0
0.727,858.0
0.728,859.0
0.729,859.0
0.73,858.0
0.731,858.0
0.732,859.0
0.733,858.0
0.734,858.0
0.735,858.0
0.736,858.0
0.737,859.0
0.738,858.0
0.739,859.0
0.74,858.0
0.741,858.0
0.742,859.0
0.743,859.0
0.744,859.0
0.745,858.0
0.746,858.0
0.747,859.0
0.748,859.0
0.749,860.0
0.75,859.0
0.751,859.0
0.752,859.0
0.753,860.0
0.754,858.0
0.755,860.0
0.756,859.0
0.757,859.0
0.758,858.0
0.759,859.0
0.76,858.0
0.761,858.0
0.762,861.0
0.763,860.0
0.764,858.0
0.765,860.0
0.766,859.0
0.767,859.0
0.768,859.0
0.769,859.0
0.77,859.0
0.771,859.0
0.772,861.0
0.773,859.0
0.774,860.0
0.775,859.0
0.776,859.0
0.777,860.0
0.778,859.0
0.779,860.0
0.78,861.0
0.781,859.0
