Time,ForceReading
0.0,9.0
0.001,42.0
0.002,82.0
0.003,95.0
0.004,117.0
0.005,123.0
0.006,144.0
0.007,168.0
0.008,185.0
0.009,196.0
0.01,205.0
0.011,218.0
0.012,226.0
0.013,241.0
0.014,261.0
0.015,274.0
0.016,287.0
0.017,299.0
0.018,309.0
0.019,315.0
0.02,324.0
0.021,331.0
0.022,337.0
0.023,341.0
0.024,347.0
0.025,353.0
0.026,358.0
0.027,363.0
0.028,370.0
0.029,375.0
0.03,382.0
0.031,391.0
0.032,398.0
0.033,405.0
0.034,411.0
0.035,420.0
0.036,427.0
0.037,434.0
0.038,439.0
0.039,444.0
0.04,449.0
0.041,455.0
0.042,461.0
0.043,467.0
0.044,472.0
0.045,475.0
0.046,481.0
0.047,487.0
0.048,497.0
0.049,503.0
0.05,509.0
0.051,516.0
0.052,519.0
0.053,527.0
0.054,529.0
0.055,533.0
0.056,536.0
0.057,541.0
0.058,545.0
0.059,548.0
0.06,554.0
0.061,558.0
0.062,560.0
0.063,564.0
0.064,567.0
0.065,568.0
0.066,570.0
0.067,574.0
0.068,577.0
0.069,580.0
0.07,584.0
0.071,588.0
0.072,591.0
0.073,594.0
0.074,597.0
0.075,604.0
0.076,608.0
0.077,613.0
0.078,617.0
0.079,624.0
0.08,626.0
0.081,629.0
0.082,632.0
0.083,633.0
0.084,635.0
0.085,638.0
0.086,640.0
0.087,641.0
0.088,644.0
0.089,647.0
0.09,650.0
0.091,653.0
0.092,655.0
0.093,658.0
0.094,661.0
0.095,664.0
0.096,666.0
0.097,667.0
0.098,669.0
0.099,672.0
0.1,675.0
0.101,677.0
0.102,677.0
0.103,679.0
0.104,682.0
0.105,682.0
0.106,684.0
0.107,685.0
0.108,685.0
0.109,688.0
0.11,691.0
0.111,693.0
0.112,695.0
0.113,698.0
0.114,701.0
0.115,703.0
0.116,703.0
0.117,704.0
0.118,705.0
0.119,706.0
0.12,709.0
0.121,710.0
0.122,712.0
0.123,713.0
0.124,713.0
0.125,713.0
0.126,716.0
0.127,719.0
0.128,722.0
0.129,724.0
0.13,726.0
0.131,728.0
0.132,729.0
0.133,732.0
0.134,733.0
0.135,734.0
0.136,736.0
0.137,738.0
0.138,739.0
0.139,740.0
0.14,742.0
0.141,743.0
0.142,744.0
0.143,746.0
0.144,746.0
0.145,749.0
0.146,750.0
0.147,753.0
0.148,753.0
0.149,755.0
0.15,757.0
0.151,758.0
0.152,759.0
0.153,761.0
0.154,761.0
0.155,763.0
0.156,763.0
0.157,764.0
0.158,766.0
0.159,766.0
0.16,767.0
0.161,769.0
0.162,770.0
0.163,772.0
