Time,ForceReading
0.0,37.0
0.001,53.0
0.002,61.0
0.003,69.0
0.004,79.0
0.005,90.0
0.006,115.0
0.007,121.0
0.008,123.0
0.009,129.0
0.01,129.0
0.011,130.0
0.012,133.0
0.013,134.0
0.014,138.0
0.015,140.0
0.016,143.0
0.017,143.0
0.018,146.0
0.019,150.0
0.02,152.0
0.021,153.0
0.022,155.0
0.023,158.0
0.024,165.0
0.025,172.0
0.026,183.0
0.027,195.0
0.028,208.0
0.029,217.0
0.03,220.0
0.031,223.0
0.032,225.0
0.033,228.0
0.034,229.0
0.035,230.0
0.036,232.0
0.037,236.0
0.038,240.0
0.039,241.0
0.04,243.0
0.041,248.0
0.042,250.0
0.043,252.0
0.044,254.0
0.045,256.0
0.046,257.0
0.047,257.0
0.048,257.0
0.049,258.0
0.05,264.0
0.051,270.0
0.052,279.0
0.053,285.0
0.054,294.0
0.055,306.0
0.056,316.0
0.057,323.0
0.058,327.0
0.059,333.0
0.06,334.0
0.061,337.0
0.062,337.0
0.063,338.0
0.064,338.0
0.065,337.0
0.066,338.0
0.067,337.0
0.068,337.0
0.069,336.0
0.07,338.0
0.071,338.0
0.072,338.0
0.073,339.0
0.074,340.0
0.075,341.0
0.076,342.0
0.077,343.0
0.078,344.0
0.079,343.0
0.08,346.0
0.081,347.0
0.082,349.0
0.083,350.0
0.084,351.0
0.085,352.0
0.086,353.0
0.087,353.0
0.088,354.0
0.089,354.0
0.09,354.0
0.091,355.0
0.092,354.0
0.093,355.0
0.094,355.0
0.095,355.0
0.096,355.0
0.097,355.0
0.098,357.0
0.099,357.0
0.1,357.0
0.101,358.0
0.102,358.0
0.103,360.0
0.104,360.0
0.105,361.0
0.106,361.0
0.107,361.0
0.108,362.0
0.109,363.0
0.11,363.0
0.111,363.0
0.112,363.0
0.113,363.0
0.114,363.0
0.115,363.0
0.116,364.0
0.117,364.0
0.118,364.0
0.119,363.0
0.12,364.0
0.121,364.0
0.122,365.0
0.123,365.0
0.124,366.0
0.125,366.0
0.126,368.0
0.127,368.0
0.128,371.0
0.129,373.0
0.13,374.0
0.131,376.0
0.132,377.0
0.133,381.0
0.134,385.0
0.135,389.0
0.136,393.0
0.137,397.0
0.138,401.0
0.139,404.0
0.14,405.0
0.141,409.0
0.142,409.0
0.143,412.0
0.144,413.0
0.145,414.0
0.146,416.0
0.147,417.0
0.148,419.0
0.149,420.0
0.15,421.0
0.151,423.0
0.152,427.0
0.153,431.0
0.154,437.0
0.155,445.0
0.156,455.0
0.157,464.0
0.158,468.0
0.159,470.0
0.16,470.0
0.161,468.0
0.162,466.0
0.163,463.0
0.164,461.0
0.165,457.0
0.166,459.0
0.167,459.0
0.168,465.0
0.169,472.0
0.17,487.0
0.171,503.0
0.172,512.0
0.173,519.0
0.174,526.0
0.175,531.0
0.176,534.0
0.177,538.0
0.178,542.0
0.179,545.0
0.18,550.0
0.181,557.0
0.182,562.0
0.183,567.0
0.184,571.0
0.185,576.0
0.186,580.0
0.187,586.0
0.188,591.0
0.189,598.0
0.19,603.0
0.191,607.0
0.192,611.0
0.193,616.0
0.194,622.0
0.195,624.0
0.196,628.0
0.197,630.0
0.198,634.0
0.199,636.0
0.2,639.0
0.201,641.0
0.202,646.0
0.203,649.0
0.204,652.0
0.205,655.0
0.206,659.0
0.207,662.0
0.208,666.0
0.209,669.0
0.21,671.0
0.211,674.0
0.212,676.0
0.213,680.0
0.214,681.0
0.215,683.0
0.216,686.0
0.217,687.0
0.218,691.0
0.219,692.0
0.22,694.0
0.221,696.0
0.222,697.0
0.223,699.0
0.224,701.0
0.225,703.0
0.226,704.0
0.227,705.0
0.228,707.0
0.229,708.0
0.23,710.0
0.231,712.0
0.232,712.0
0.233,714.0
0.234,717.0
0.235,719.0
0.236,720.0
0.237,724.0
0.238,727.0
0.239,729.0
0.24,732.0
0.241,734.0
0.242,737.0
0.243,740.0
0.244,742.0
0.245,742.0
0.246,745.0
0.247,747.0
0.248,749.0
0.249,751.0
0.25,752.0
0.251,754.0
0.252,755.0
0.253,757.0
0.254,759.0
0.255,760.0
0.256,761.0
0.257,764.0
0.258,764.0
0.259,766.0
0.26,768.0
0.261,768.0
0.262,769.0
0.263,770.0
0.264,773.0
0.265,773.0
0.266,775.0
0.267,776.0
0.268,777.0
0.269,780.0
0.27,781.0
0.271,782.0
0.272,782.0
0.273,784.0
0.274,786.0
0.275,788.0
0.276,789.0
0.277,791.0
0.278,793.0
0.279,794.0
0.28,795.0
0.281,796.0
0.282,797.0
0.283,798.0
0.284,799.0
0.285,800.0
0.286,801.0
0.287,803.0
0.288,803.0
0.289,804.0
0.29,807.0
0.291,808.0
0.292,809.0
0.293,810.0
0.294,810.0
0.295,812.0
0.296,813.0
0.297,815.0
0.298,815.0
0.299,816.0
0.3,817.0
0.301,820.0
0.302,820.0
0.303,821.0
0.304,822.0
0.305,823.0
0.306,822.0
0.307,823.0
0.308,823.0
0.309,824.0
0.31,826.0
0.311,826.0
0.312,826.0
0.313,828.0
0.314,829.0
0.315,829.0
0.316,830.0
0.317,831.0
0.318,832.0
0.319,834.0
0.32,835.0
0.321,836.0
0.322,838.0
0.323,839.0
0.324,839.0
0.325,840.0
0.326,841.0
0.327,843.0
0.328,843.0
0.329,844.0
0.33,846.0
0.331,847.0
0.332,848.0
0.333,849.0
0.334,849.0
0.335,850.0
0.336,851.0
0.337,852.0
0.338,853.0
0.339,854.0
0.34,855.0
0.341,856.0
0.342,856.0
0.343,857.0
0.344,858.0
0.345,859.0
0.346,861.0
0.347,860.0
0.348,861.0
0.349,862.0
0.35,862.0
0.351,864.0
0.352,865.0
0.353,865.0
0.354,866.0
0.355,866.0
0.356,867.0
0.357,868.0
0.358,868.0
0.359,869.0
0.36,870.0
0.361,870.0
0.362,870.0
0.363,871.0
0.364,871.0
0.365,872.0
0.366,872.0
0.367,873.0
0.368,873.0
0.369,874.0
0.37,875.0
0.371,875.0
0.372,875.0
0.373,875.0
0.374,877.0
0.375,878.0
0.376,877.0
0.377,878.0
0.378,879.0
0.379,879.0
0.38,880.0
0.381,880.0
0.382,881.0
0.383,881.0
0.384,882.0
0.385,883.0
0.386,883.0
0.387,882.0
0.388,885.0
0.389,884.0
0.39,884.0
0.391,886.0
0.392,885.0
0.393,886.0
0.394,888.0
0.395,887.0
0.396,888.0
0.397,888.0
0.398,888.0
0.399,890.0
0.4,890.0
0.401,891.0
0.402,891.0
0.403,891.0
0.404,892.0
0.405,892.0
0.406,894.0
0.407,894.0
0.408,893.0
0.409,893.0
0.41,894.0
0.411,894.0
0.412,894.0
0.413,895.0
0.414,895.0
0.415,895.0
0.416,896.0
0.417,896.0
0.418,896.0
0.419,897.0
0.42,898.0
0.421,897.0
0.422,899.0
0.423,900.0
0.424,900.0
0.425,899.0
0.426,901.0
0.427,900.0
0.428,900.0
0.429,902.0
0.43,901.0
0.431,902.0
0.432,903.0
0.433,902.0
0.434,902.0
0.435,903.0
0.436,903.0
0.437,904.0
0.438,905.0
0.439,904.0
0.44,904.0
0.441,905.0
0.442,906.0
0.443,906.0
0.444,906.0
0.445,906.0
0.446,906.0
0.447,907.0
0.448,906.0
0.449,907.0
0.45,907.0
0.451,908.0
0.452,908.0
0.453,908.0
0.454,909.0
0.455,909.0
0.456,910.0
0.457,909.0
0.458,910.0
0.459,910.0
0.46,911.0
0.461,912.0
0.462,912.0
0.463,912.0
0.464,913.0
0.465,913.0
0.466,914.0
0.467,912.0
0.468,913.0
0.469,913.0
0.47,914.0
0.471,913.0
0.472,914.0
0.473,913.0
0.474,913.0
0.475,913.0
0.476,915.0
0.477,915.0
0.478,915.0
0.479,915.0
0.48,916.0
0.481,915.0
0.482,916.0
0.483,916.0
0.484,916.0
0.485,916.0
0.486,917.0
0.487,917.0
0.488,917.0
0.489,917.0
0.49,917.0
0.491,918.0
0.492,917.0
0.493,918.0
0.494,918.0
0.495,918.0
0.496,918.0
0.497,918.0
0.498,918.0
0.499,919.0
0.5,919.0
0.501,919.0
0.502,919.0
0.503,919.0
0.504,920.0
0.505,920.0
0.506,920.0
0.507,920.0
0.508,921.0
0.509,920.0
0.51,921.0
0.511,922.0
0.512,922.0
0.513,921.0
0.514,922.0
0.515,922.0
0.516,922.0
